geoid,name,median_household_income,median_household_income_moe,median_gross_rent,median_gross_rent_moe,median_home_value,median_home_value_moe,renter_households_total,renter_households_computed,rent_burdened_households,rent_burden_rate,annual_rent_to_income
12,Florida,74568,284,1669,5,359000,930,2834163,2653280,1594400,0.6009166013387204,0.2685870614740908
15,Hawaii,100389,1121,1971,23,839100,5924,182206,167511,94926,0.5666851729140175,0.2356035023757583
32,Nevada,78260,596,1597,11,435400,1611,481396,454811,254017,0.5585111178049783,0.24487605417837977
06,California,99122,310,2036,5,734700,1307,5980523,5673625,3138319,0.5531417744387407,0.24648413066725852
22,Louisiana,60756,408,1064,8,216500,1367,588653,512847,280905,0.5477364594118713,0.21015208374481534
08,Colorado,95470,578,1761,7,539400,2069,802483,764414,404262,0.5288521664961657,0.2213470200062847
09,Connecticut,95781,732,1488,10,366900,1621,481018,451425,237337,0.5257506784072659,0.18642528267610486
41,Oregon,83011,573,1525,10,477600,1400,630439,594861,312174,0.524784781654874,0.2204527110864825
13,Georgia,77353,407,1393,6,303300,1171,1398009,1289858,676065,0.5241390912798153,0.21610021589337194
45,South Carolina,69324,570,1180,9,259000,1421,595868,529838,276102,0.5211064514059014,0.2042582655357452
36,New York,85974,402,1621,7,423800,1627,3525661,3327305,1733205,0.5209035540775493,0.226254449019471
25,Massachusetts,103960,527,1762,9,562100,2169,1043884,986190,510471,0.5176193228485383,0.2033859176606387
48,Texas,78476,263,1403,4,283800,738,4113561,3855522,1994428,0.5172913032269042,0.21453692848769051
34,New Jersey,103556,513,1720,7,454400,1150,1268573,1207003,622327,0.5155968957823635,0.19931244930279268
24,Maryland,103678,597,1705,8,419900,1385,765363,723345,372433,0.5148760273451811,0.19734176971006384
04,Arizona,79964,407,1543,7,394500,1474,931983,869948,447352,0.5142284366421901,0.23155419938972538
28,Mississippi,56447,539,954,8,169800,1198,343643,292635,149998,0.5125771011669827,0.2028097153081652
72,Puerto Rico,26297,261,578,6,131500,959,414280,240886,122262,0.5075512898217414,0.2637563220139179
26,Michigan,72875,293,1129,4,231600,642,1092179,1006424,507305,0.5040668743988617,0.1859073756432247
35,New Mexico,64059,808,1067,11,248100,1957,251477,225224,113043,0.5019136504102583,0.19987823725003512
53,Washington,98141,414,1760,7,564600,1940,1110043,1054973,526914,0.49945733208338033,0.21520057875913226
10,Delaware,84954,1251,1401,16,352000,2842,108655,102006,50624,0.49628453228241476,0.19789533159121406
37,North Carolina,72388,324,1228,5,288900,1086,1428852,1306980,638780,0.48874504583084666,0.20356965242857933
54,West Virginia,59608,691,872,8,162600,1346,183060,151377,73950,0.48851542836758555,0.17554690645550933
47,Tennessee,69595,429,1189,7,286700,1492,933708,847874,413964,0.48823763908316564,0.20501472806954524
01,Alabama,63999,399,1007,8,209900,1076,595092,518718,253158,0.48804552762772835,0.18881545024141003
51,Virginia,93170,458,1579,8,383700,1024,1099123,1025785,497919,0.48540288656979774,0.2033701835354728
23,Maine,74733,795,1139,13,296600,2876,153586,139717,67661,0.4842717779511441,0.18289109228854722
50,Vermont,81203,1339,1234,18,316600,3361,73337,68505,33147,0.4838624917889205,0.18235779466275875
33,New Hampshire,99031,1123,1491,15,402500,2808,151369,143293,69100,0.48222872017474683,0.18067069907402733
42,Pennsylvania,77971,342,1209,5,254500,767,1617882,1496561,721590,0.48216544464275096,0.186069179566762
27,Minnesota,89062,409,1280,7,329300,903,641268,604069,290600,0.48107087104287755,0.1724641261143922
18,Indiana,71957,352,1062,5,218200,739,799766,738794,355094,0.4806400701684096,0.17710577150242507
44,Rhode Island,87796,1209,1342,19,404200,4032,160568,151947,72880,0.4796409274286429,0.18342521299375825
17,Illinois,83390,362,1274,5,263300,797,1657539,1538603,737425,0.47928218000354866,0.18333133469240917
49,Utah,95166,774,1496,9,489400,1629,334678,317240,149855,0.47237107552641533,0.18863879957127547
16,Idaho,77800,743,1238,16,418600,2550,198644,183998,86303,0.46904314177328016,0.19095115681233935
11,District of Columbia,109870,1937,1954,26,737100,10625,189808,180450,84085,0.4659739540038792,0.21341585510148356
40,Oklahoma,65039,439,1014,6,199800,1121,534552,481026,222765,0.4631038654875204,0.18708774735158903
39,Ohio,71389,321,1034,5,214800,742,1595287,1474800,676962,0.45901952807160296,0.17380828979254506
29,Missouri,70702,325,1033,6,230300,880,799814,737729,336158,0.4556659694820185,0.1753274306243105
21,Kentucky,63726,429,967,5,205600,1096,574561,511721,232325,0.45400716406010305,0.18209208172488467
31,Nebraska,76475,633,1072,8,238600,1365,266969,248394,111902,0.4505020250086556,0.16821183393265773
05,Arkansas,60773,467,947,6,188000,1754,405123,356151,159453,0.4477117851697735,0.18699093347374657
30,Montana,72509,761,1081,14,375800,3433,141459,127725,57163,0.4475474652573889,0.17890192941565874
02,Alaska,92788,1232,1419,23,352900,3735,89700,81157,36229,0.4464063481893121,0.18351510971246282
19,Iowa,75059,418,972,6,208000,1141,372311,343637,150913,0.4391640015481453,0.1553977537670366
55,Wisconsin,77485,455,1087,4,266500,1051,797266,749274,327462,0.43703905380408237,0.16834225979221784
20,Kansas,74275,475,1060,7,217200,1343,385651,358287,155797,0.4348385512173202,0.1712554695388758
56,Wyoming,76176,1168,992,17,309700,3824,68699,61859,26642,0.4306891479008713,0.15626969124133586
46,South Dakota,75081,888,946,11,257400,3051,114923,105189,41854,0.39789331584101,0.1511967075558397
38,North Dakota,76657,1163,954,11,249900,2909,122979,114881,44672,0.388854553842672,0.14934056902826878
