"element","pct_episodes"
"tree",0.895781637717122
"trees",0.836228287841191
"deciduous",0.563275434243176
"conifer",0.52605459057072
"clouds",0.444168734491315
"mountain",0.397022332506204
"lake",0.354838709677419
"grass",0.352357320099256
"river",0.312655086848635
"bushes",0.297766749379653
"snowy_mountain",0.270471464019851
"mountains",0.245657568238213
"cumulus",0.213399503722084
"structure",0.210918114143921
"rocks",0.19106699751861
"snow",0.186104218362283
"cabin",0.1712158808933
"winter",0.1712158808933
"framed",0.13151364764268
"path",0.121588089330025
"sun",0.0992555831265509
"waterfall",0.0967741935483871
"oval_frame",0.0942928039702233
"ocean",0.0893300248138958
"waves",0.0843672456575682
"cirrus",0.0694789081885856
"beach",0.0669975186104218
"fence",0.0595533498759305
"fog",0.0570719602977667
"hills",0.0446650124069479
"barn",0.0421836228287841
"flowers",0.0297766749379653
"night",0.0272952853598015
"steve_ross",0.0272952853598015
"palm_trees",0.0223325062034739
"cliff",0.0198511166253102
"bridge",0.0173697270471464
"cactus",0.00992555831265509
"moon",0.00744416873449132
"portrait",0.00744416873449132
"aurora_borealis",0.00496277915632754
"boat",0.00496277915632754
"circle_frame",0.00496277915632754
"mill",0.00496277915632754
"apple_frame",0.00248138957816377
"building",0.00248138957816377
"diane_andre",0.00248138957816377
"dock",0.00248138957816377
"double_oval_frame",0.00248138957816377
"farm",0.00248138957816377
"fire",0.00248138957816377
"florida_frame",0.00248138957816377
"half_circle_frame",0.00248138957816377
"half_oval_frame",0.00248138957816377
"lighthouse",0.00248138957816377
"person",0.00248138957816377
"rectangle_3d_frame",0.00248138957816377
"rectangular_frame",0.00248138957816377
"seashell_frame",0.00248138957816377
"split_frame",0.00248138957816377
"tomb_frame",0.00248138957816377
"triple_frame",0.00248138957816377
"windmill",0.00248138957816377
"window_frame",0.00248138957816377
"wood_framed",0.00248138957816377
"lakes",0
