"guest","element","pct","painter","element_label"
0,"bushes",0.304461942257218,"Bob Ross episode","Bushes"
0,"clouds",0.438320209973753,"Bob Ross episode","Clouds"
0,"conifer",0.52755905511811,"Bob Ross episode","Conifer"
0,"cumulus",0.20997375328084,"Bob Ross episode","Cumulus"
0,"deciduous",0.564304461942257,"Bob Ross episode","Deciduous"
0,"grass",0.359580052493438,"Bob Ross episode","Grass"
0,"lake",0.343832020997375,"Bob Ross episode","Lake"
0,"mountain",0.391076115485564,"Bob Ross episode","Mountain"
0,"mountains",0.238845144356955,"Bob Ross episode","Mountains"
0,"river",0.325459317585302,"Bob Ross episode","River"
0,"rocks",0.202099737532808,"Bob Ross episode","Rocks"
0,"snowy_mountain",0.257217847769029,"Bob Ross episode","Snowy Mountain"
0,"structure",0.220472440944882,"Bob Ross episode","Structure"
0,"tree",0.905511811023622,"Bob Ross episode","Tree"
0,"trees",0.845144356955381,"Bob Ross episode","Trees"
1,"bushes",0.181818181818182,"Guest episode","Bushes"
1,"clouds",0.545454545454545,"Guest episode","Clouds"
1,"conifer",0.5,"Guest episode","Conifer"
1,"cumulus",0.272727272727273,"Guest episode","Cumulus"
1,"deciduous",0.545454545454545,"Guest episode","Deciduous"
1,"grass",0.227272727272727,"Guest episode","Grass"
1,"lake",0.545454545454545,"Guest episode","Lake"
1,"mountain",0.5,"Guest episode","Mountain"
1,"mountains",0.363636363636364,"Guest episode","Mountains"
1,"river",0.0909090909090909,"Guest episode","River"
1,"rocks",0,"Guest episode","Rocks"
1,"snowy_mountain",0.5,"Guest episode","Snowy Mountain"
1,"structure",0.0454545454545455,"Guest episode","Structure"
1,"tree",0.727272727272727,"Guest episode","Tree"
1,"trees",0.681818181818182,"Guest episode","Trees"
